id,sex,bizflag,zip,zip_bins,numords,dollars,last,sincepurch,version1,owntaxprod,upgraded,res1,city,state_id,state_name,population,density
1,U,1,99999,20,1,129.5,11,1,0,0,0,0,International,International,International,International,International
2,U,1,99999,20,2,65,4,14,0,0,0,0,International,International,International,International,International
3,U,1,99999,20,1,24.5,13,36,1,0,0,0,International,International,International,International,International
4,U,1,99999,20,1,80.5,5,19,1,0,0,0,International,International,International,International,International
5,U,1,99999,20,1,111,14,7,0,0,0,0,International,International,International,International,International
6,U,1,99999,20,1,61.5,14,20,0,0,1,0,International,International,International,International,International
7,U,1,99999,20,1,56,5,27,0,0,1,0,International,International,International,International,International
8,U,1,99999,20,1,39.5,4,2,0,0,0,0,International,International,International,International,International
9,U,1,99999,20,1,22,17,1,0,0,0,1,International,International,International,International,International
10,U,1,99999,20,2,113,7,15,0,0,0,0,International,International,International,International,International
11,U,1,99999,20,1,14.5,11,15,0,0,0,1,International,International,International,International,International
12,U,1,99999,20,1,59.5,36,2,0,0,0,0,International,International,International,International,International
13,U,1,99999,20,3,63,7,10,0,0,0,0,International,International,International,International,International
14,U,1,99999,20,2,89,23,20,0,0,1,0,International,International,International,International,International
15,U,1,99999,20,3,80.5,19,21,0,0,1,0,International,International,International,International,International
16,U,1,99999,20,3,46,4,35,1,0,0,0,International,International,International,International,International
17,U,1,99999,20,1,14.5,33,17,1,0,0,0,International,International,International,International,International
18,U,1,99999,20,3,62,2,22,0,1,1,0,International,International,International,International,International
19,U,1,99999,20,1,48.5,16,28,0,0,1,0,International,International,International,International,International
20,U,1,99999,20,4,228,21,22,0,1,1,0,International,International,International,International,International
21,U,1,99999,20,1,18.5,3,12,0,0,0,0,International,International,International,International,International
22,U,1,99999,20,2,94,1,18,1,0,0,0,International,International,International,International,International
23,U,1,99999,20,5,144.5,18,23,0,0,1,0,International,International,International,International,International
24,U,1,99999,20,2,114,5,1,0,0,0,0,International,International,International,International,International
25,U,1,99999,20,1,19.5,19,2,0,0,0,0,International,International,International,International,International
26,U,1,99999,20,2,55,28,11,0,0,0,0,International,International,International,International,International
27,U,1,99999,20,3,96.5,4,27,0,0,1,0,International,International,International,International,International
28,U,1,99999,20,2,55,26,18,1,0,0,0,International,International,International,International,International
29,U,1,99999,20,3,53,9,31,0,0,1,0,International,International,International,International,International
30,U,1,99999,20,5,171.5,2,13,0,0,0,1,International,International,International,International,International
31,U,1,99999,20,3,176,6,35,0,0,1,0,International,International,International,International,International
32,U,1,99999,20,1,53.5,24,1,0,0,0,0,International,International,International,International,International
33,U,1,99999,20,4,136.5,25,23,0,0,1,0,International,International,International,International,International
34,U,1,99999,20,5,87,13,22,0,0,1,0,International,International,International,International,International
35,U,1,99999,20,1,47,22,7,0,0,0,0,International,International,International,International,International
36,U,1,99999,20,1,112,17,15,0,0,0,0,International,International,International,International,International
37,U,1,99999,20,2,44,32,21,0,0,1,0,International,International,International,International,International
38,U,1,99999,20,3,109.5,13,33,0,1,1,0,International,International,International,International,International
39,U,1,99999,20,2,34,1,11,0,0,0,0,International,International,International,International,International
40,U,1,99999,20,1,7,30,36,1,0,0,0,International,International,International,International,International
41,M,0,0,1,3,279,24,8,0,0,0,0,International,International,International,International,International
42,M,0,0,1,4,126.5,3,3,0,0,0,0,International,International,International,International,International
43,M,0,0,1,2,134,35,32,1,0,0,0,International,International,International,International,International
44,M,0,0,1,2,209.5,11,7,0,0,0,0,International,International,International,International,International
45,M,0,99999,20,5,206.5,6,34,1,0,0,0,International,International,International,International,International
46,M,0,99999,20,2,54,13,26,1,0,0,0,International,International,International,International,International
47,M,0,99999,20,1,24.5,17,5,0,0,0,0,International,International,International,International,International
48,M,0,99999,20,1,7,7,16,0,0,1,0,International,International,International,International,International
49,M,0,99999,20,3,69,5,15,0,0,0,0,International,International,International,International,International
50,M,0,99999,20,2,39,11,4,0,1,0,0,International,International,International,International,International
51,M,0,99999,20,1,29.5,2,5,0,0,0,0,International,International,International,International,International
52,M,0,99999,20,2,60.5,22,15,0,0,0,0,International,International,International,International,International
53,M,0,99999,20,1,44.5,24,8,0,0,0,0,International,International,International,International,International
54,M,0,99999,20,1,5,28,10,0,0,0,0,International,International,International,International,International
55,M,0,0,1,3,76.5,4,1,0,0,0,0,International,International,International,International,International
56,M,0,0,1,1,19.5,4,24,1,0,0,0,International,International,International,International,International
57,M,0,99999,20,4,253,33,30,1,0,0,0,International,International,International,International,International
58,M,0,99999,20,2,36.5,24,26,1,0,0,0,International,International,International,International,International
59,M,0,99999,20,1,49.5,13,3,0,0,0,1,International,International,International,International,International
60,M,0,99999,20,2,379,7,6,0,0,0,0,International,International,International,International,International
61,M,0,99999,20,2,94,12,20,1,0,0,0,International,International,International,International,International
62,M,0,99999,20,1,89.5,11,28,0,0,1,0,International,International,International,International,International
63,M,0,99999,20,2,55.5,15,31,0,0,1,0,International,International,International,International,International
64,M,0,99999,20,4,70.5,29,25,1,0,0,0,International,International,International,International,International
65,M,0,99999,20,1,9.5,12,1,0,0,0,0,International,International,International,International,International
66,M,0,99999,20,2,173,6,7,0,0,0,0,International,International,International,International,International
67,M,0,99999,20,5,247,15,30,0,1,1,0,International,International,International,International,International
68,M,0,99999,20,2,105,1,33,1,0,0,0,International,International,International,International,International
69,F,0,99999,20,1,9.5,17,24,0,0,1,0,International,International,International,International,International
70,F,0,99999,20,3,74,13,20,0,0,1,0,International,International,International,International,International
71,M,0,99999,20,3,749.5,16,19,1,0,0,0,International,International,International,International,International
72,M,0,99999,20,3,63.5,4,12,0,0,0,0,International,International,International,International,International
73,M,0,99999,20,1,33,30,1,0,0,0,0,International,International,International,International,International
74,M,0,99999,20,1,9.5,15,10,0,0,0,0,International,International,International,International,International
75,M,0,99999,20,1,14.5,7,3,0,0,0,0,International,International,International,International,International
76,M,0,99999,20,1,54.5,22,1,0,0,0,0,International,International,International,International,International
77,M,0,0,1,1,24.5,10,7,0,0,0,0,International,International,International,International,International
78,M,0,0,1,1,54.5,22,31,0,0,1,0,International,International,International,International,International
79,F,0,99999,20,1,54.5,24,13,0,0,0,0,International,International,International,International,International
80,F,0,99999,20,1,12,2,21,0,0,1,0,International,International,International,International,International
81,M,0,99999,20,2,144,11,29,1,0,0,0,International,International,International,International,International
82,M,0,99999,20,1,27,24,1,0,0,0,0,International,International,International,International,International
